screen_time_hrs,unlocks_per_day,night_usage,social_media_hrs,app_switches_hr,notifications_day,sleep_hours,age,risk_level
5.12,14,1,4.16,14,65,3.31,24,Medium
11.46,101,0,4.93,25,202,4.15,29,High
9.05,179,0,0.25,50,56,4.86,54,High
7.59,70,1,4.02,31,157,7.39,42,Medium
2.72,31,0,5.71,70,284,6.84,41,Medium
2.72,158,0,0.75,45,166,5.5,31,Medium
1.64,79,0,5.38,17,211,7.55,58,Medium
10.53,10,0,3.57,13,135,6.66,23,Medium
7.61,142,0,3.7,40,73,8.38,46,Medium
8.79,21,1,3.68,62,185,7.91,19,High
1.23,99,0,1.79,58,125,4.52,56,Medium
11.67,55,0,5.61,16,213,4.63,46,High
10.16,43,0,5.68,18,40,3.75,32,High
3.34,186,0,3.75,38,122,5.02,50,High
3.0,87,1,4.7,57,76,9.0,36,Medium
3.02,54,1,3.67,24,84,5.43,22,Medium
4.35,164,1,2.91,79,54,4.32,44,High
6.77,82,1,3.96,20,269,7.57,27,Medium
5.75,35,0,3.32,74,163,6.25,49,Medium
4.2,56,1,3.58,60,164,3.9,32,High
7.73,130,0,4.7,62,243,5.28,15,High
2.53,65,0,2.89,8,60,5.49,49,Low
4.21,103,0,0.24,8,271,7.52,52,Medium
5.03,116,0,0.98,24,134,3.12,20,Medium
6.02,72,0,2.63,14,254,4.61,52,Medium
9.64,57,1,4.35,28,39,6.11,56,Medium
3.2,70,1,3.56,30,131,4.61,35,Medium
6.66,90,1,3.9,41,134,6.77,52,Low
7.52,35,1,2.88,58,46,5.89,23,Medium
1.51,45,0,3.69,25,179,5.17,58,Medium
7.68,10,1,1.97,78,133,8.7,20,Medium
2.88,17,0,2.82,42,44,6.79,41,Low
1.72,122,1,4.47,50,96,3.78,42,High
11.44,108,0,5.23,8,143,6.36,22,High
11.62,189,0,2.6,64,205,7.68,51,High
9.89,56,1,0.26,61,283,7.25,40,Medium
4.35,136,0,0.97,49,210,4.03,48,Medium
2.07,65,0,0.13,24,294,8.83,25,Low
8.53,23,1,3.92,21,86,5.69,44,High
5.84,37,0,1.99,75,68,3.95,48,Medium
2.34,87,1,3.25,8,135,4.08,49,Medium
6.45,139,1,2.96,18,118,3.59,38,Medium
1.38,118,1,0.49,7,233,7.82,34,Medium
11.0,163,0,2.42,62,287,3.73,16,High
3.85,23,0,1.32,59,77,3.75,43,Medium
8.29,196,0,2.51,8,78,8.1,30,Medium
4.43,65,1,1.22,28,174,5.07,50,Medium
6.72,124,0,5.04,38,171,3.19,36,High
7.01,16,1,1.05,34,51,3.31,35,Medium
3.03,12,1,5.76,23,118,3.85,34,High
11.67,120,0,2.5,35,60,4.28,14,High
9.53,160,1,5.08,64,259,6.99,43,High
11.33,116,0,3.77,64,30,3.94,23,High
10.84,27,0,4.41,23,148,3.71,40,High
7.58,47,0,4.61,53,101,7.59,58,Medium
11.14,124,0,3.03,67,289,7.03,44,High
1.97,24,0,3.26,26,134,5.61,17,Medium
3.16,128,1,3.08,28,120,6.3,50,Medium
1.5,37,1,3.53,34,148,4.87,22,Medium
4.58,48,1,0.18,62,282,5.9,52,Medium
5.28,194,0,2.37,35,108,6.04,58,Low
3.98,26,0,3.64,68,261,5.32,36,High
10.12,95,0,3.59,23,113,8.44,47,Medium
4.92,135,1,4.76,52,223,3.1,56,High
4.09,53,0,3.93,49,258,7.69,35,Medium
6.97,34,1,5.95,59,161,3.75,29,High
2.55,154,1,1.7,59,259,7.79,13,High
9.82,22,0,2.15,22,284,6.7,43,Medium
1.82,34,0,2.3,67,174,8.06,43,Low
11.86,77,1,2.79,51,17,3.59,54,High
9.49,147,0,5.02,79,293,6.35,54,High
3.19,76,1,1.41,61,14,6.01,46,Low
1.06,118,0,4.66,49,154,7.24,21,Medium
9.97,155,0,2.43,37,110,6.21,34,Medium
8.78,120,1,3.61,21,173,6.24,25,High
9.02,120,0,3.8,74,156,5.58,37,High
9.48,43,1,2.24,8,73,4.85,30,Medium
1.81,120,0,3.08,24,100,5.89,24,Medium
4.94,17,1,2.48,51,126,3.71,52,Medium
2.27,177,1,0.41,19,276,8.77,29,Medium
10.49,122,0,2.62,74,182,7.29,27,High
7.86,92,1,0.58,51,56,8.71,54,Medium
4.64,51,0,2.43,79,149,4.36,27,Medium
1.7,178,0,3.56,13,255,8.28,27,High
4.42,110,0,3.48,20,158,7.85,51,Medium
4.58,15,1,3.98,73,255,7.06,25,Medium
9.03,189,1,0.57,65,14,6.75,29,High
